TIME               EVENT
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '257', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '202', '0', 'NONE']
['4799', '4333926404', '257', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '257', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '8', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '257', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '9', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '257', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '9', '0', 'NONE']
['4799', '4333926404', '9', '0', 'NONE']
['4799', '4333926404', '9', '0', 'NONE']
['4799', '4333926404', '9', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '10', '0', 'NONE']
['4799', '4333926404', '11', '0', 'NONE']
['4799', '4333926404', '41', '0', 'NONE']
['4799', '4333926404', '54', '0', 'NONE']
['4799', '4333926404', '42', '0', 'NONE']
['4799', '4333926404', '7', '0', 'NONE']
['4799', '4333926404', '307', '0', 'NONE']
['4799', '5440395270', '41', '0', 'NONE']
['4799', '5440395270', '55', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '55', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '102', '0', 'NONE']
['4799', '5440395270', '107', '0', 'NONE']
['4799', '5440395270', '104', '0', 'NONE']
['4799', '5440395270', '108', '0', 'NONE']
['4799', '5440395270', '46', '0', 'NONE']
['4799', '5440395270', '3', '0', 'NONE']
['4799', '5440395270', '286', '0', 'NONE']
['4799', '5440395270', '45', '0', 'NONE']
['4799', '5440395270', '47', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '46', '0', 'NONE']
['4799', '5440395270', '186', '0', 'NONE']
['4799', '5440395270', '232', '0', 'NONE']
['4799', '4335687681', '47', '0', 'NONE']
['4799', '4335687681', '257', '0', 'NONE']
['4799', '4335687681', '262', '0', 'NONE']
['4799', '4335687681', '0', '0', 'NONE']
['4799', '4335687681', '16', '0', 'NONE']
['4799', '4335687681', '0', '0', 'NONE']
['4799', '4335687681', '3', '0', 'NONE']
['4799', '4335687681', '186', '0', 'NONE']
['4799', '4335687681', '232', '0', 'NONE']
['4799', '5440395270', '45', '0', 'NONE']
['4799', '5440395270', '47', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '262', '0', 'NONE']
['4799', '5440395270', '41', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '42', '0', 'NONE']
['4799', '5440395270', '54', '0', 'NONE']
['4799', '5440395270', '233', '0', 'NONE']
['4799', '5440395270', '55', '0', 'NONE']
['4799', '5440395270', '1', '0', 'NONE']
['4799', '5440395270', '186', '0', 'NONE']
['4799', '5440395270', '286', '0', 'NONE']
['4799', '5440395270', '232', '0', 'NONE']
['4799', '4333926404', '7', '0', 'NONE']
['4799', '4333926404', '16', '0', 'NONE']
['4799', '4333926404', '45', '0', 'NONE']
['4799', '4333926404', '7', '0', 'NONE']
['4799', '5440395270', '45', '0', 'NONE']
['4799', '5440395270', '47', '0', 'NONE']
['4799', '5440395270', '233', '0', 'NONE']
['4799', '5440395270', '3', '0', 'NONE']
['4799', '5440395270', '46', '0', 'NONE']
['4799', '5440395270', '186', '0', 'NONE']
['4799', '5440395270', '286', '0', 'NONE']
['4799', '5440395270', '232', '0', 'NONE']
['4799', '4333926404', '16', '0', 'NONE']
['4799', '4333926404', '45', '0', 'NONE']
['4799', '4333926404', '3', '0', 'NONE']
['4799', '4333926404', '16', '0', 'NONE']
['4799', '4333926404', '111', '0', 'NONE']
['4799', '4333926404', '1', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4333926404', '16', '0', 'NONE']
['4799', '4333926404', '111', '0', 'NONE']
['4799', '4333926404', '1', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4333926404', '16', '0', 'NONE']
['4799', '4333926404', '111', '0', 'NONE']
['4799', '4333926404', '1', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4333926404', '41', '0', 'NONE']
['4799', '4333926404', '42', '0', 'NONE']
['4799', '4333926404', '16', '0', 'NONE']
['4799', '4333926404', '111', '0', 'NONE']
['4799', '4333926404', '1', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
